City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind
mataura,6,NZ,1634853067,54,-46.19,168.86,57.0,3.62
avarua,20,CK,1634853067,65,-21.21,-159.78,77.05,10.36
vaini,75,TO,1634853068,83,-21.2,-175.2,78.96,5.75
nantucket,1,US,1634853068,88,41.28,-70.1,66.34,12.66
são filipe,21,CV,1634853068,64,14.9,-24.5,81.43,6.6
bredasdorp,100,ZA,1634853069,88,-34.53,20.04,63.72,1.14
hobart,75,AU,1634853069,73,-42.88,147.33,64.02,3.0
hithadhoo,100,MV,1634853069,77,-0.6,73.08,80.74,9.28
saint paul harbor,75,US,1634853070,81,57.79,-152.41,42.31,9.22
bethel,58,US,1634853070,70,41.37,-73.41,70.16,6.64
atar,0,MR,1634853070,17,20.52,-13.05,80.37,8.63
albany,96,US,1634853071,62,42.6,-73.97,67.87,4.54
faanui,27,PF,1634853071,74,-16.48,-151.75,79.14,8.43
mayo,1,US,1634853071,63,38.89,-76.51,75.31,1.99
grants,1,US,1634853072,13,35.15,-107.85,70.03,0.0
punta arenas,40,CL,1634853035,53,-53.15,-70.92,48.31,28.77
rikitea,100,PF,1634852825,79,-23.12,-134.97,74.55,21.52
kiryat gat,1,IL,1634853072,100,31.61,34.76,70.81,3.18
severo-kuril'sk,97,RU,1634853072,64,50.68,156.12,38.55,7.65
bacolod city,70,PH,1634853073,89,10.67,122.95,78.35,8.39
palmer,75,US,1634852777,54,42.16,-72.33,70.97,10.36
cockburn town,90,TC,1634852832,89,21.46,-71.14,78.76,4.61
zhicheng,100,CN,1634853073,77,30.3,111.5,56.77,2.26
gravdal,100,NO,1634853074,73,68.12,13.5,37.67,17.45
east london,100,ZA,1634853074,73,-33.02,27.91,71.46,9.01
husavik,100,IS,1634853074,72,66.04,-17.34,30.11,8.01
pisco,0,PE,1634853075,64,-13.7,-76.22,68.05,16.11
tuktoyaktuk,75,CA,1634853075,93,69.45,-133.04,30.2,6.91
lata,0,PT,1634853075,89,40.16,-8.33,57.61,3.87
aklavik,61,CA,1634853076,85,68.22,-135.01,34.63,10.83
rabo de peixe,20,PT,1634853076,82,37.8,-25.58,62.11,4.61
yangi marg`ilon,100,UZ,1634853076,54,40.43,71.72,52.52,6.91
khatanga,87,RU,1634853076,100,71.97,102.5,-2.97,4.59
hobyo,58,SO,1634853077,81,5.35,48.53,78.78,13.89
tasiilaq,49,GL,1634853077,77,65.61,-37.64,25.93,8.46
sur,4,OM,1634853077,65,22.57,59.53,78.89,10.42
henties bay,0,NA,1634853078,89,-22.12,14.28,60.85,4.27
altamira,20,BR,1634853078,74,-3.2,-52.21,86.09,3.44
ushuaia,40,AR,1634853078,81,-54.8,-68.3,40.66,28.77
laguna,75,US,1634853079,58,38.42,-121.42,78.93,1.01
paamiut,71,GL,1634853079,46,61.99,-49.67,37.08,6.29
saint george,1,US,1634852568,25,37.1,-113.58,81.07,1.01
katsuura,100,JP,1634853079,91,35.13,140.3,55.42,15.32
butaritari,32,KI,1634853080,73,3.07,172.79,82.6,16.44
bakel,95,SN,1634853080,17,14.9,-12.46,86.59,5.53
arraial do cabo,75,BR,1634853080,68,-22.97,-42.03,67.96,4.61
sungai besar,100,MY,1634853081,90,3.67,100.99,75.25,4.5
cape town,20,ZA,1634852791,65,-33.93,18.42,63.09,15.01
lubyany,100,RU,1634853081,98,56.04,51.4,44.24,12.01
lorengau,100,PG,1634853081,85,-2.02,147.27,79.07,10.54
matagami,90,CA,1634853082,100,49.75,-77.63,32.11,6.91
kapaa,20,US,1634853082,72,22.08,-159.32,82.38,1.01
ilulissat,53,GL,1634853082,93,69.22,-51.1,16.05,6.51
zhuhai,40,CN,1634853083,82,22.28,113.57,67.05,23.02
esperance,66,AU,1634853083,79,-33.87,121.9,55.24,10.78
port alfred,100,ZA,1634853083,81,-33.59,26.89,66.72,13.85
vila velha,0,BR,1634852996,78,-20.33,-40.29,69.75,11.5
tessalit,0,ML,1634853084,20,20.2,1.01,80.02,7.4
te anau,35,NZ,1634853084,71,-45.42,167.72,52.18,1.36
fortuna,75,US,1634853084,74,40.6,-124.16,68.34,5.01
cherskiy,100,RU,1634853085,97,68.75,161.3,5.77,4.52
tuy hoa,98,VN,1634853085,93,13.08,109.3,75.76,3.11
kaitangata,16,NZ,1634853085,64,-46.28,169.85,54.09,6.04
new norfolk,91,AU,1634853085,64,-42.78,147.06,63.66,1.01
qaanaaq,18,GL,1634853086,76,77.48,-69.36,-0.13,7.47
umm kaddadah,100,SD,1634853086,23,13.6,26.69,84.94,18.77
bashtanka,21,UA,1634853086,88,47.41,32.44,53.01,16.51
yulara,0,AU,1634853087,29,-25.24,130.99,62.44,8.05
comodoro rivadavia,0,AR,1634853087,25,-45.87,-67.5,58.86,12.66
bluff,3,NZ,1634853087,66,-46.6,168.33,49.37,3.04
krasnogorsk,0,RU,1634853088,66,55.82,37.32,54.05,17.9
chui,4,UY,1634853088,78,-33.7,-53.46,57.97,6.89
conde,20,BR,1634853088,78,-7.26,-34.91,80.06,9.22
uruana,54,BR,1634853089,73,-15.5,-49.69,76.51,3.13
rawson,60,AR,1634853089,58,-43.3,-65.1,53.2,19.1
moscow,100,RU,1634853089,75,55.75,37.62,54.23,15.7
maragogi,17,BR,1634853090,84,-9.01,-35.22,78.76,11.88
jamestown,90,US,1634853090,98,42.1,-79.24,61.02,1.99
macheng,100,CN,1634853090,80,31.18,115.03,51.66,3.29
constitución,100,CL,1634853091,72,-35.33,-72.42,57.0,18.1
thompson,75,CA,1634853019,69,55.74,-97.86,33.96,5.75
balabac,100,PH,1634853091,81,7.99,117.06,80.85,4.18
kavieng,100,PG,1634853091,79,-2.57,150.8,81.34,10.51
hofn,1,IS,1634853091,60,64.25,-15.21,33.73,13.02
portland,90,US,1634852880,54,45.52,-122.68,72.61,1.01
port elizabeth,90,ZA,1634853092,77,-33.92,25.57,66.49,5.75
ampanihy,0,MG,1634853092,86,-24.7,44.75,59.11,6.53
castro,61,BR,1634853071,76,-24.79,-50.01,56.98,3.62
taoudenni,1,ML,1634853093,26,22.68,-3.98,78.76,10.0
vostok,93,RU,1634853093,79,46.49,135.88,24.4,3.58
port hardy,90,CA,1634853093,93,50.7,-127.42,51.8,25.32
los llanos de aridane,75,ES,1634853093,74,28.66,-17.92,71.35,12.66
naze,99,JP,1634853094,70,28.37,129.48,67.12,20.04
sangmélima,92,CM,1634853094,92,2.93,11.98,68.72,1.43
paramonga,36,PE,1634853094,79,-10.67,-77.83,65.68,9.42
hilo,20,US,1634853095,63,19.73,-155.09,84.27,6.91
iwaki,100,JP,1634853095,88,37.05,140.88,50.34,3.02
sambava,32,MG,1634853095,90,-14.27,50.17,70.3,3.89
salta,0,AR,1634853096,19,-24.79,-65.41,84.79,7.0
mar del plata,0,AR,1634852825,90,-38.0,-57.56,77.02,15.99
dikson,100,RU,1634853096,71,73.51,80.55,23.67,10.74
güstrow,20,DE,1634853096,81,53.8,12.17,48.97,13.8
salisbury,0,GB,1634852897,87,51.07,-1.8,46.42,5.75
winslow,1,US,1634853097,24,35.02,-110.7,71.96,1.01
kenai,90,US,1634853097,86,60.55,-151.26,43.14,4.61
vila franca do campo,83,PT,1634853097,74,37.72,-25.43,63.01,4.59
puerto ayora,70,EC,1634853098,80,-0.74,-90.35,78.76,10.13
bariloche,40,AR,1634853098,35,-41.15,-71.31,53.35,23.02
barrow,90,US,1634852967,93,71.29,-156.79,26.62,3.44
wanparti,51,IN,1634853098,66,16.37,78.07,71.47,6.98
kruisfontein,100,ZA,1634853098,85,-34.0,24.73,61.88,3.42
ahipara,100,NZ,1634853099,90,-35.17,173.17,62.58,13.33
atuona,10,PF,1634853099,78,-9.8,-139.03,77.88,19.91
norman wells,20,CA,1634853099,75,65.28,-126.83,37.44,9.22
ribeira grande,99,PT,1634853100,70,38.52,-28.7,69.22,11.43
kusa,100,RU,1634853100,97,55.34,59.44,30.94,6.58
airai,78,TL,1634853100,65,-8.93,125.41,63.99,1.7
gigmoto,100,PH,1634853101,81,13.78,124.39,80.42,9.26
yerbogachën,97,RU,1634853101,94,61.28,108.01,30.56,6.58
praia,0,CV,1634853101,65,14.92,-23.51,81.14,20.71
buzdyak,100,RU,1634853102,98,54.58,54.55,38.66,16.49
hong kong,100,HK,1634852949,86,22.29,114.16,67.32,1.01
‘ewa beach,90,US,1634853102,63,21.32,-158.01,83.01,10.0
kawalu,99,ID,1634853102,96,-7.38,108.21,71.19,0.81
roald,75,NO,1634853103,81,62.58,6.13,43.9,21.85
alofi,75,NU,1634853103,57,-19.06,-169.92,80.49,14.97
raglan,100,NZ,1634853103,70,-37.8,174.88,65.32,15.01
gayéri,67,BF,1634853104,41,12.65,0.49,88.99,5.93
yar-sale,100,RU,1634853104,92,66.83,70.83,28.71,6.2
busselton,35,AU,1634853104,81,-33.65,115.33,46.09,6.4
broome,1,US,1634853105,58,42.25,-75.83,68.38,10.36
três lagoas,16,BR,1634852943,55,-20.75,-51.68,75.85,5.88
hasaki,100,JP,1634853105,78,35.73,140.83,54.0,18.21
nanortalik,100,GL,1634853105,47,60.14,-45.24,41.36,9.66
grindavik,75,IS,1634853106,65,63.84,-22.43,39.67,9.22
ancud,45,CL,1634853106,67,-41.87,-73.82,51.42,7.81
puri,69,IN,1634853106,74,19.8,85.85,77.52,5.91
galle,53,LK,1634853107,83,6.04,80.22,79.52,5.93
provideniya,75,RU,1634853107,59,64.38,-173.3,26.71,8.95
pochutla,100,MX,1634853107,80,15.74,-96.47,84.81,3.2
pevek,100,RU,1634853107,91,69.7,170.31,12.54,13.6
esmeraldas,66,BR,1634853108,88,-19.76,-44.31,68.86,8.34
george town,20,MY,1634852942,89,5.41,100.34,77.9,3.0
rio grande,25,BR,1634853054,73,-32.03,-52.1,68.11,10.2
hermanus,100,ZA,1634853108,76,-34.42,19.23,60.8,4.83
muli,22,MV,1634853108,72,2.92,73.57,81.45,9.84
narsaq,100,GL,1634853109,36,60.92,-46.05,39.36,4.54
aasiaat,100,GL,1634853109,97,68.71,-52.87,24.48,6.76
villa de cura,98,VE,1634853109,81,10.04,-67.49,74.5,1.86
vao,80,NC,1634853110,79,-22.67,167.48,71.82,14.14
touros,100,BR,1634852885,77,-5.2,-35.46,83.3,8.72
opuwo,0,NA,1634853110,26,-18.06,13.84,65.28,9.26
arrondissement de rambouillet,1,FR,1634853110,91,48.58,1.92,44.64,4.52
havøysund,100,NO,1634853111,68,71.0,24.66,34.68,29.68
pahrump,99,US,1634852703,16,36.21,-115.98,78.94,1.99
leningradskiy,90,RU,1634853111,89,69.38,178.42,10.4,15.35
fort saint james,100,CA,1634853111,62,54.43,-124.25,50.45,7.81
iqaluit,75,CA,1634853112,86,63.75,-68.51,31.73,3.0
beloha,2,MG,1634853112,81,-25.17,45.05,61.12,5.93
laas,67,IT,1634853112,87,46.62,10.7,50.61,3.91
labuhan,100,ID,1634853113,81,-6.88,112.21,79.38,6.33
arlit,2,NE,1634853113,13,18.74,7.39,87.08,8.66
souillac,40,MU,1634853113,83,-20.52,57.52,74.35,3.44
tuatapere,1,NZ,1634853113,54,-46.13,167.68,56.86,2.24
la ronge,20,CA,1634853114,45,55.1,-105.28,41.25,10.36
torbay,75,CA,1634853114,72,47.67,-52.73,48.97,18.41
cayenne,40,GF,1634852868,83,4.93,-52.33,82.44,5.01
daşoguz,0,TM,1634853114,74,41.84,59.97,33.91,4.61
bratsk,66,RU,1634853115,78,56.13,101.61,30.69,3.67
altamont,98,US,1634853093,62,42.21,-121.74,59.9,7.0
karratha,0,AU,1634853115,30,-20.74,116.85,76.53,11.14
agüimes,20,ES,1634853115,74,27.91,-15.45,70.43,20.71
chapais,100,CA,1634852865,81,49.78,-74.85,38.98,3.94
zapolyarnyy,100,RU,1634853116,91,69.42,30.81,33.08,25.19
neryungri,100,RU,1634853116,95,56.67,124.65,34.45,7.94
lundazi,12,ZM,1634853117,74,-12.29,33.18,66.0,9.19
gisborne,100,NZ,1634853117,62,-38.65,178.0,57.94,8.05
kumul,3,CN,1634853117,23,42.8,93.45,54.3,4.94
carnarvon,0,AU,1634853117,77,-24.87,113.63,62.67,17.27
vardø,100,NO,1634853118,54,70.37,31.11,34.0,29.8
padang,98,ID,1634853099,86,-0.95,100.35,76.57,3.67
gohpur,23,IN,1634853118,97,26.88,93.63,69.13,2.84
mmabatho,100,ZA,1634853118,57,-25.85,25.63,64.11,16.17
flin flon,20,CA,1634853112,38,54.77,-101.86,40.84,6.91
saryg-sep,22,RU,1634853119,55,51.5,95.6,29.59,3.11
lagos,79,NG,1634852850,88,6.58,3.75,79.12,3.78
ponta do sol,5,PT,1634853119,63,32.67,-17.1,71.71,6.69
egvekinot,100,RU,1634853119,95,66.32,-179.17,18.46,1.3
lebu,1,CL,1634853120,66,-37.62,-73.65,51.93,18.5
lompoc,1,US,1634852975,72,34.64,-120.46,82.69,17.27
timbiquí,100,CO,1634853120,92,2.77,-77.67,76.51,4.5
kavaratti,100,IN,1634853120,77,10.57,72.64,81.63,9.44
bo rai,100,TH,1634853121,96,12.57,102.54,80.85,2.59
warrnambool,81,AU,1634853122,90,-38.38,142.48,57.81,0.09
sørland,100,NO,1634853122,62,67.67,12.69,41.2,23.29
japura,80,ID,1634853122,98,-0.32,102.35,72.99,0.85
faya,22,SA,1634853123,26,18.39,42.45,64.51,7.07
almaznyy,78,RU,1634853123,90,48.04,40.04,48.34,17.76
sika,100,GM,1634853124,81,13.35,-16.34,82.54,6.85
chumikan,14,RU,1634853124,90,54.72,135.32,26.17,17.25
ayabaca,97,PE,1634853124,79,-4.64,-79.71,54.16,5.21
mount gambier,90,AU,1634853125,94,-37.83,140.77,53.51,0.0
dukat,31,RU,1634853125,92,62.55,155.55,-11.18,2.89
apricena,41,IT,1634853125,80,41.78,15.44,60.62,11.92
chernushka,100,RU,1634853125,99,56.51,56.08,33.75,11.86
yellowknife,20,CA,1634853077,73,62.46,-114.35,47.28,14.97
ambon city,20,ID,1634853126,94,-3.7,128.18,75.34,5.75
cam ranh,75,VN,1634853126,94,11.92,109.16,75.16,3.44
muroto-misakicho,100,JP,1634853126,82,33.28,134.15,53.64,15.21
half moon bay,75,US,1634853127,78,37.46,-122.43,78.93,13.8
mahébourg,40,MU,1634853127,83,-20.41,57.7,74.25,3.44
pacific grove,1,US,1634852924,82,36.62,-121.92,78.58,5.01
sobolevo,97,RU,1634853127,68,54.43,31.9,54.77,20.11
coyhaique,40,CL,1634853128,44,-45.58,-72.07,55.35,6.91
lamu,17,KE,1634853128,81,-2.27,40.9,75.42,14.56
codrington,51,AU,1634853128,89,-38.27,141.97,57.7,0.96
cidreira,10,BR,1634853129,82,-30.18,-50.21,64.96,16.08
chlórakas,20,CY,1634853129,59,34.8,32.41,65.43,6.91
kirakira,100,SB,1634853129,77,-10.45,161.92,82.27,7.36
coahuayana viejo,60,MX,1634853129,66,18.73,-103.68,87.39,5.79
mizdah,61,LY,1634853130,63,31.45,12.98,63.59,7.0
nabire,100,ID,1634853130,92,-3.37,135.48,75.81,1.86
buraidah,0,SA,1634853130,38,26.33,43.98,77.45,10.83
huarmey,38,PE,1634853131,76,-10.07,-78.15,67.33,10.51
sept-îles,75,CA,1634853131,87,50.2,-66.38,49.05,1.01
khovd,8,MN,1634853131,49,48.01,91.64,32.79,1.36
paducah,75,US,1634853132,48,37.08,-88.6,70.02,8.05
cacheu,94,GW,1634853132,86,12.27,-16.17,80.6,4.68
sinop province,2,TR,1634853132,47,41.77,34.87,51.3,10.31
tynda,75,RU,1634853132,80,55.17,124.72,27.43,4.32
arari,98,BR,1634853133,85,-3.45,-44.78,77.38,2.55
aksarka,100,RU,1634853133,91,66.56,67.8,28.44,5.28
ostrovnoy,100,RU,1634853133,78,68.05,39.51,34.56,17.76
fantino,68,DO,1634853134,91,19.12,-70.3,87.31,4.79
saldanha,100,ZA,1634853134,86,-33.01,17.94,59.05,19.46
tiksi,100,RU,1634853134,94,71.69,128.87,10.13,11.68
buñol,74,ES,1634853135,75,39.42,-0.78,66.04,3.4
tabuk,45,PH,1634853135,95,17.42,121.44,73.24,2.91
newport,14,GB,1634853135,85,51.59,-3.0,48.76,8.05
aygehovit,0,AM,1634853135,82,40.98,45.25,44.06,4.21
upington,100,ZA,1634853136,94,-28.45,21.26,61.18,8.05
marsaxlokk,20,MT,1634853136,88,35.84,14.54,71.08,5.75
valdivia,33,CL,1634853018,65,-39.81,-73.25,57.29,4.12
palmas,40,BR,1634853137,65,-10.21,-48.36,82.27,10.36
alamosa,100,US,1634852908,16,37.47,-105.87,63.36,2.3
nikolskoye,100,RU,1634853137,85,59.7,30.79,54.01,16.4
presidencia roque sáenz peña,0,AR,1634853137,27,-26.79,-60.44,81.91,9.37
sri aman,100,MY,1634853137,94,1.24,111.46,77.09,0.0
karwar,100,IN,1634853138,83,14.8,74.13,78.12,3.47
plettenberg bay,100,ZA,1634853138,89,-34.05,23.37,62.62,2.39
clyde river,75,CA,1634853138,86,70.47,-68.59,25.03,4.61
são lourenço do sul,16,BR,1634853139,80,-31.37,-51.98,68.05,9.86
mutoko,60,ZW,1634853139,61,-17.4,32.23,62.76,3.89
harindānga,32,IN,1634853139,79,22.04,88.32,80.58,3.29
twante,96,MM,1634853140,94,16.72,95.93,78.93,1.99
auki,100,SB,1634853140,78,-8.77,160.7,80.94,4.63
arrondissement de clermont,8,FR,1634853098,80,49.5,2.42,42.15,6.22
carahue,22,CL,1634853140,58,-38.7,-73.17,55.6,6.93
south venice,26,US,1634853141,67,27.05,-82.42,88.16,11.5
hirekerūr,100,IN,1634853141,96,14.47,75.38,70.0,8.55
bosaso,69,SO,1634853141,48,11.28,49.18,79.5,0.65
concepción del oro,50,MX,1634853142,32,24.63,-101.42,72.64,2.15
zhigansk,57,RU,1634853142,82,66.77,123.37,27.23,16.89
peniche,36,PT,1634853142,80,39.36,-9.38,62.62,20.98
agirish,100,RU,1634853143,69,61.92,63.02,29.64,9.75
mersing,99,MY,1634853143,100,2.43,103.84,73.31,6.91
manono,75,CD,1634853143,93,-7.3,27.42,70.75,2.66
alekseyevka,85,RU,1634853143,59,50.63,38.69,51.66,19.19
sulangan,88,PH,1634853144,78,11.14,123.72,82.99,14.72
tolaga bay,100,NZ,1634853144,61,-38.37,178.3,56.07,8.61
bengkulu,90,ID,1634853144,92,-3.8,102.27,74.66,3.18
gainesville,1,US,1634852855,54,29.65,-82.32,84.94,5.75
novo aripuanã,100,BR,1634853145,88,-5.12,-60.38,78.24,1.61
asău,77,RO,1634853145,51,46.43,26.4,56.95,8.16
guerrero negro,0,MX,1634852875,63,27.98,-114.06,74.26,12.12
petropavlovsk-kamchatskiy,20,RU,1634853145,63,53.05,158.65,19.99,8.95
