City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind
upernavik,88,GL,1634853146,85,72.79,-56.15,18.54,4.47
luanda,40,AO,1634853061,83,-8.84,13.23,77.0,9.22
beringovskiy,100,RU,1634853146,89,63.05,179.32,16.84,13.76
nakasongola,91,UG,1634853146,96,1.31,32.46,64.26,4.09
salalah,55,OM,1634853147,76,17.02,54.09,74.41,3.11
lüderitz,67,NA,1634853147,82,-26.65,15.16,57.33,10.63
saint-augustin,42,CA,1634853147,60,51.23,-58.65,40.62,10.11
richards bay,98,ZA,1634853148,79,-28.78,32.04,68.65,17.02
mikkeli,75,FI,1634853148,100,61.69,27.27,46.51,9.22
progreso,100,MX,1634853148,81,21.28,-89.67,77.11,9.04
klaksvík,98,FO,1634853148,75,62.23,-6.59,40.12,39.01
mitsamiouli,13,KM,1634853149,79,-11.38,43.28,77.38,2.86
alice springs,0,AU,1634853149,30,-23.7,133.88,67.55,0.0
saint-philippe,3,RE,1634853149,78,-21.36,55.77,71.15,9.71
baharly,0,TM,1634853150,41,38.44,57.43,46.83,5.93
rafaela,0,AR,1634853150,24,-31.25,-61.49,83.05,5.01
hambantota,40,LK,1634853150,100,6.12,81.12,77.34,2.3
oodweyne,100,SO,1634853151,28,9.41,45.06,74.93,10.02
sittwe,100,MM,1634853151,90,20.15,92.9,77.29,5.03
natal,40,BR,1634853072,83,-5.8,-35.21,83.05,9.22
mana,100,GF,1634853151,88,5.66,-53.78,78.19,10.29
morón,10,AR,1634852911,56,-34.65,-58.62,78.69,8.05
paracuru,100,BR,1634852986,78,-3.41,-39.03,82.42,10.25
srednekolymsk,84,RU,1634853152,99,67.45,153.68,-11.83,2.57
forsytheganj,99,BY,1634853152,68,52.63,29.73,56.37,19.24
honiara,95,SB,1634853136,80,-9.43,159.95,81.52,3.27
nagua,75,DO,1634853153,89,19.38,-69.85,84.45,9.22
talara,0,PE,1634853153,64,-4.58,-81.27,74.16,14.97
tacuatí,3,PY,1634853153,65,-23.45,-56.58,72.95,2.84
wonthaggi,43,AU,1634853154,72,-38.6,145.59,67.37,6.33
paragominas,96,BR,1634853154,91,-2.97,-47.48,75.0,3.6
lagoa,100,PT,1634853154,71,39.05,-27.98,68.41,11.1
pedersore,100,FI,1634853154,99,63.65,22.68,40.89,1.01
yekimovichi,91,RU,1634853155,67,54.11,33.3,53.31,15.86
spearfish,1,US,1634853155,50,44.49,-103.86,64.62,1.01
pangnirtung,20,CA,1634853155,60,66.15,-65.71,33.8,6.91
kauhajoki,100,FI,1634853156,96,62.43,22.18,43.77,4.61
amarkantak,2,IN,1634853156,67,22.67,81.75,57.78,4.09
camacha,40,PT,1634853156,68,33.08,-16.33,67.42,10.36
pitimbu,99,BR,1634853157,79,-7.47,-34.81,81.19,12.3
evensk,8,RU,1634853157,74,61.95,159.23,6.39,7.74
longyearbyen,75,SJ,1634853157,73,78.22,15.64,17.44,5.75
glendive,90,US,1634853158,70,47.11,-104.71,52.18,4.61
okha,100,RU,1634853158,89,53.57,142.95,34.14,10.25
madimba,17,TZ,1634853158,91,-10.4,40.33,73.29,7.14
san cristobal,61,VE,1634853159,73,7.77,-72.22,74.91,1.43
barra de tecoanapa,81,MX,1634853159,73,16.52,-98.75,83.43,6.96
ludvika,20,SE,1634853159,61,60.15,15.19,39.04,11.21
aripuanã,98,BR,1634853159,76,-9.17,-60.63,80.2,3.53
pontian kecil,96,MY,1634853160,88,1.48,103.39,78.84,3.6
windham,40,US,1634853160,65,41.83,-72.0,68.32,4.0
erenhot,0,CN,1634853011,47,43.65,111.98,36.14,3.65
kyren,0,RU,1634853160,62,51.68,102.14,32.56,2.62
saint anthony,1,US,1634853161,50,45.02,-93.22,50.95,1.99
teruel,96,ES,1634853161,75,40.67,-0.67,55.36,3.53
college,75,US,1634852903,79,64.86,-147.8,34.2,4.61
gizo government station,94,SB,1634853161,72,-8.1,156.84,82.4,3.09
fort myers beach,75,US,1634853162,62,26.45,-81.95,90.05,5.75
bilma,0,NE,1634853162,17,18.69,12.92,82.53,10.36
birao,100,CF,1634853162,73,10.28,22.79,75.49,3.49
imeni poliny osipenko,75,RU,1634853163,100,52.42,136.49,18.63,1.28
la macarena,71,CO,1634853163,71,2.18,-73.78,82.04,3.06
santa cruz de tenerife,20,ES,1634853163,85,28.47,-16.25,74.71,1.99
sitka,90,US,1634853164,54,57.05,-135.33,53.49,6.91
ambilobe,35,MG,1634853164,89,-13.2,49.05,72.07,0.96
hollins,75,US,1634853164,68,37.34,-79.94,75.58,8.05
alta floresta,59,BR,1634853164,65,-9.88,-56.09,80.19,2.48
noumea,81,NC,1634852893,99,-22.28,166.46,80.58,4.92
sechura,50,PE,1634853165,63,-5.56,-80.82,74.46,15.23
kryvyi rih,90,UA,1634853090,82,47.92,33.35,54.48,20.13
yumbe,100,UG,1634853165,94,3.47,31.25,65.07,4.9
bulancak,0,TR,1634853166,50,40.94,38.23,60.98,3.98
merauke,94,ID,1634853166,81,-8.47,140.33,79.74,6.42
morādābād,0,IN,1634852885,55,28.83,78.78,67.17,2.86
mgachi,100,RU,1634853166,83,51.05,142.27,27.43,4.45
kidal,4,ML,1634853167,19,18.44,1.41,85.33,9.46
ziyang,95,CN,1634853167,88,29.25,117.85,49.8,2.98
flinders,35,AU,1634853167,81,-34.58,150.86,68.38,1.01
vallenar,0,CL,1634853168,30,-28.57,-70.76,71.8,7.49
nichinan,87,JP,1634853168,81,31.6,131.37,56.88,5.75
taraz,90,KZ,1634853168,75,42.9,71.37,41.41,4.47
salinópolis,83,BR,1634853168,80,-0.61,-47.36,80.38,7.85
chokurdakh,96,RU,1634853169,97,70.63,147.92,-16.06,3.44
ürümqi,0,CN,1634853169,49,43.8,87.6,41.95,4.47
awjilah,4,LY,1634853169,46,29.11,21.29,70.68,8.08
neuquén,40,AR,1634853170,31,-38.95,-68.06,73.29,10.36
masvingo,32,ZW,1634853170,51,-20.06,30.83,65.21,6.24
grand gaube,52,MU,1634853170,77,-20.01,57.66,74.37,1.99
arandis,0,NA,1634853171,86,-22.42,14.97,54.46,3.98
namatanai,86,PG,1634853171,78,-3.67,152.43,81.68,6.26
humberto de campos,62,BR,1634853171,80,-2.6,-43.46,78.48,5.12
forestville,1,US,1634853171,53,38.85,-76.88,75.04,12.66
härnösand,100,SE,1634853172,94,62.63,17.94,39.99,13.42
kundiawa,87,PG,1634853172,86,-6.02,144.97,67.93,0.34
são joão da barra,79,BR,1634853172,75,-21.64,-41.05,68.09,7.56
tutóia,33,BR,1634853173,81,-2.76,-42.27,80.33,9.19
wharton,40,US,1634853173,54,29.31,-96.1,88.16,0.0
ouro fino,21,BR,1634853173,72,-22.28,-46.37,61.95,0.51
sarangani,51,PH,1634853174,78,5.4,125.46,81.37,1.99
linhares,97,BR,1634853174,83,-19.39,-40.07,68.72,8.84
san buenaventura,88,MX,1634853174,42,27.08,-101.53,87.48,11.16
george,90,ZA,1634853175,94,-33.96,22.46,62.15,3.44
juradó,54,CO,1634853175,86,7.11,-77.76,79.25,5.55
saskylakh,95,RU,1634853175,99,71.92,114.08,1.09,4.29
san patricio,35,US,1634853176,46,28.02,-97.52,89.58,6.8
aranda de duero,34,ES,1634853176,80,41.67,-3.69,48.58,4.85
mineiros,53,BR,1634853176,64,-17.57,-52.55,76.06,3.13
plouzané,0,FR,1634853176,79,48.38,-4.62,53.08,4.61
bodaybo,100,RU,1634853177,96,57.85,114.19,28.0,2.62
senneterre,100,CA,1634853177,98,48.38,-77.23,37.62,7.18
belle fourche,56,US,1634853177,53,44.67,-103.85,66.85,3.98
curup,88,ID,1634853178,97,-3.47,102.53,66.81,1.28
oktyabr'skoye,1,RU,1634853178,100,43.06,44.74,32.14,8.95
paka,99,MY,1634853178,94,4.64,103.44,76.98,1.14
altay,60,CN,1634853179,40,47.87,88.12,41.9,9.53
shaoyang,100,CN,1634853179,88,27.23,111.45,52.18,2.33
stokmarknes,100,NO,1634853179,76,68.56,14.91,36.37,6.78
konza,93,KE,1634853180,77,-1.74,37.13,66.38,7.58
qandala,35,SO,1634853180,45,11.47,49.87,80.74,1.07
lewistown,1,US,1634853180,53,40.6,-77.57,74.61,6.91
ovalle,0,CL,1634853181,38,-30.6,-71.2,70.56,6.6
caravelas,100,BR,1634853181,85,-17.71,-39.25,73.96,11.1
waipawa,100,NZ,1634853181,59,-41.41,175.52,57.45,7.65
baykit,100,RU,1634853182,93,61.67,96.37,33.19,3.6
murray bridge,22,AU,1634852962,68,-35.12,139.27,62.44,2.44
patnos,0,TR,1634853182,42,39.23,42.86,44.47,1.92
livingston,90,GB,1634853183,79,55.9,-3.52,46.67,16.11
khowst,0,AF,1634853184,30,33.38,69.88,62.24,2.59
mwanza,100,TZ,1634853184,65,-2.52,32.9,75.16,6.33
imbituba,39,BR,1634853184,78,-28.24,-48.67,69.69,15.61
marsá maţrūḩ,40,EG,1634853184,64,31.35,27.25,70.0,5.75
ishigaki,75,JP,1634853185,94,24.34,124.16,71.73,13.8
taltal,24,CL,1634853185,66,-25.4,-70.48,62.47,6.15
ganzhou,99,CN,1634853185,89,28.82,115.43,51.8,4.45
sirsa,0,IN,1634853186,31,29.53,75.02,73.89,5.61
leh,0,IN,1634853186,46,34.17,77.58,39.29,4.61
marand,0,IR,1634853186,63,38.43,45.77,44.94,1.68
chadiza,57,ZM,1634853187,72,-14.07,32.44,64.71,4.59
jérémie,86,HT,1634853187,79,18.65,-74.12,82.42,1.68
koumac,72,NC,1634853187,75,-20.57,164.28,75.99,7.27
cabo san lucas,0,MX,1634853157,66,22.89,-109.91,89.62,7.0
port lincoln,59,AU,1634853187,74,-34.73,135.87,60.64,2.93
gua musang,92,MY,1634853188,99,4.88,101.96,72.61,0.72
margate,10,GB,1634853188,63,51.38,1.39,45.7,1.01
lahaina,6,US,1634853188,74,20.88,-156.68,87.04,4.68
prince george,1,CA,1634853055,72,53.92,-122.75,54.84,2.3
argentan,4,FR,1634853155,86,48.75,-0.02,42.57,1.59
illela,85,NG,1634853189,34,13.73,5.3,88.99,5.79
dongtai,59,CN,1634853189,83,32.85,120.31,48.74,6.91
yanji,63,CN,1634853189,70,42.91,129.51,31.82,3.13
liku,100,ID,1634853190,91,-0.73,119.89,74.3,2.15
fairbanks,75,US,1634853091,79,64.84,-147.72,34.21,3.0
new ulm,1,US,1634853190,62,44.31,-94.46,49.28,13.8
adolfo lópez mateos,73,MX,1634853191,33,28.47,-107.3,72.93,7.45
berlevåg,100,NO,1634853191,56,70.86,29.09,35.78,27.38
quincy,40,US,1634853168,58,42.25,-71.0,71.55,1.01
dali,100,CN,1634853191,99,25.7,100.18,56.12,2.82
kathmandu,40,NP,1634853112,92,27.72,85.32,59.92,1.01
san quintín,1,MX,1634853192,63,30.48,-115.95,71.02,15.19
goderich,96,CA,1634853192,88,43.75,-81.72,59.32,16.11
lampa,0,CL,1634853192,38,-33.28,-70.9,74.23,14.97
tūkrah,3,LY,1634853193,66,32.53,20.58,67.32,5.21
krasnosel'kup,97,RU,1634853193,98,65.7,82.47,27.52,7.45
san pedro del paraná,0,PY,1634853193,57,-26.83,-56.2,83.95,4.41
soe,85,ID,1634853194,76,-9.86,124.28,69.35,2.1
korla,0,CN,1634853194,31,41.76,86.15,53.28,5.95
cavalcante,76,BR,1634853194,54,-13.8,-47.46,78.94,2.71
nyurba,100,RU,1634853195,93,63.28,118.33,34.48,5.88
milas,0,TR,1634853195,94,37.32,27.78,52.95,3.44
sedalia,1,US,1634853135,54,38.7,-93.23,62.26,9.22
iberia,41,US,1634853195,65,29.95,-91.75,87.03,3.18
hamilton,20,US,1634853096,57,39.18,-84.53,67.05,4.0
mount isa,0,AU,1634853196,53,-20.73,139.5,78.57,0.0
boca do acre,100,BR,1634853196,61,-8.75,-67.4,85.1,2.73
vershino-darasunskiy,15,RU,1634853197,95,52.35,115.52,20.55,3.2
antofagasta,32,CL,1634853136,70,-23.65,-70.4,60.08,8.81
bara,53,NG,1634853197,63,10.37,10.73,78.93,3.6
mahenge,89,TZ,1634853197,61,-8.68,36.72,68.72,4.72
ust-tsilma,100,RU,1634853198,96,65.44,52.15,30.61,5.84
pandan,100,PH,1634853198,77,14.05,124.17,80.76,10.11
colares,19,PT,1634853198,67,38.8,-9.45,62.33,5.01
zhuanghe,31,CN,1634853198,61,39.7,122.99,45.14,7.45
brunsbüttel,94,DE,1634853199,81,53.9,9.15,46.99,4.0
kungsbacka,32,SE,1634853199,61,57.49,12.08,50.07,21.99
biloxi,1,US,1634853129,74,30.4,-88.89,82.51,4.61
medvedevo,100,RU,1634853199,96,56.63,47.8,48.72,9.84
kibre mengist,81,ET,1634853200,94,5.88,38.98,56.1,1.77
gold coast,22,AU,1634853200,86,-28.0,153.43,75.0,2.3
geraldton,90,AU,1634853200,88,-28.77,114.6,58.12,4.61
mehamn,100,NO,1634853201,57,71.04,27.85,35.31,25.5
havre-st-pierre,1,CA,1634853201,76,50.23,-63.6,50.0,4.61
puerto del rosario,75,ES,1634853201,78,28.5,-13.86,73.15,18.41
uspenskaya,15,RU,1634853202,51,45.76,41.07,48.78,6.4
bambous virieux,40,MU,1634853202,83,-20.34,57.76,74.21,3.44
yarovoy,100,RU,1634853202,68,52.93,78.58,42.1,10.94
algiers,0,DZ,1634853155,67,36.75,3.04,60.62,2.3
port-cartier,93,CA,1634853203,90,50.03,-66.87,48.74,2.35
honningsvåg,100,NO,1634853203,59,70.98,25.97,38.25,31.94
trincomalee,92,LK,1634853178,84,8.57,81.23,79.11,5.82
oyama,100,JP,1634853203,62,36.3,139.8,53.82,6.58
gogrial,85,SS,1634853203,82,8.53,28.1,74.34,3.89
juegang,40,CN,1634853204,78,32.32,121.19,53.98,13.06
ojinaga,1,MX,1634853204,31,29.57,-104.42,93.58,4.61
duartina,0,BR,1634853204,50,-22.41,-49.4,79.95,7.92
urengoy,80,RU,1634853205,99,65.97,78.37,26.13,3.74
buarcos,0,PT,1634853205,75,40.17,-8.88,59.34,17.16
mountrath,26,IE,1634853205,88,53.0,-7.47,43.88,5.19
ratnagiri,89,IN,1634853206,73,16.98,73.3,76.24,5.55
ust'-omchug,35,RU,1634853206,97,61.15,149.63,-13.9,1.12
oddur,48,SO,1634853206,83,4.12,43.89,73.11,11.43
hibbing,42,US,1634853206,46,47.43,-92.94,44.85,6.62
rosetown,0,CA,1634853121,46,51.55,-108.0,55.98,14.97
the valley,20,AI,1634853207,70,18.22,-63.06,84.34,14.97
bibiani,100,GH,1634853207,99,6.46,-2.32,72.14,2.21
tura,4,IN,1634853207,89,25.52,90.22,62.76,2.37
talnakh,100,RU,1634853208,97,69.49,88.4,25.02,1.07
sabang,100,ID,1634853208,73,5.89,95.32,80.67,2.13
hagerstown,19,US,1634852934,51,39.64,-77.72,73.98,8.01
port hedland,0,AU,1634853208,82,-20.32,118.57,62.65,8.05
qasigiannguit,41,GL,1634853209,96,68.82,-51.19,13.46,4.54
hastings,6,GB,1634853085,88,50.86,0.57,47.52,9.55
kenitra,40,MA,1634853209,76,34.26,-6.58,68.72,3.89
östersund,75,SE,1634853209,100,63.18,14.64,34.61,6.91
nelson bay,16,AU,1634853210,94,-32.72,152.15,66.11,1.01
saint-léger,6,BE,1634853210,97,49.61,5.66,43.68,3.83
saint-joseph,1,RE,1634853210,73,-21.37,55.62,70.16,5.3
khilok,1,RU,1634853211,78,51.37,110.47,28.72,3.67
yanggu,1,CN,1634853211,54,36.11,115.78,48.24,5.06
olafsvik,69,IS,1634853211,58,64.89,-23.71,39.4,15.64
luena,100,AO,1634853212,92,-11.78,19.92,64.51,2.01
burnie,100,AU,1634853212,93,-41.07,145.92,57.94,12.71
maniitsoq,56,GL,1634853212,55,65.42,-52.9,32.81,7.81
fare,45,PF,1634853212,74,-16.7,-151.02,79.03,9.19
nāndgaon,30,IN,1634853213,55,20.32,74.65,71.22,2.19
lesnoy,100,RU,1634853213,77,57.62,63.08,30.13,9.31
tazovsky,72,RU,1634853213,99,67.47,78.7,23.45,2.53
pathalgaon,3,IN,1634853214,63,22.57,83.47,63.39,3.22
nuuk,100,GL,1634853214,86,64.18,-51.72,27.88,13.0
bonfim,84,BR,1634853214,67,3.08,-59.95,91.35,0.63
pinyug,100,RU,1634853214,99,60.25,47.78,43.32,7.18
mahabalipuram,37,IN,1634853215,80,12.63,80.17,80.65,3.44
atikokan,32,CA,1634853215,52,48.76,-91.62,41.49,7.27
nizhniy kuranakh,100,RU,1634853215,98,58.84,125.49,37.04,11.01
río gallegos,40,AR,1634853092,28,-51.62,-69.22,55.45,32.21
safi,0,MA,1634853216,84,32.3,-9.24,67.14,15.95
tocopilla,34,CL,1634853216,61,-22.09,-70.2,65.48,7.67
conceição do araguaia,80,BR,1634853216,80,-8.26,-49.26,77.23,4.27
bachaquero,14,VE,1634853217,78,9.97,-71.15,82.54,3.89
finnsnes,100,NO,1634853217,64,69.23,17.98,37.36,11.18
san policarpo,86,PH,1634853217,83,12.18,125.51,81.01,10.63
gijang,4,KR,1634853218,77,35.24,129.21,49.73,6.8
washougal,100,US,1634853218,51,45.58,-122.35,72.46,10.0
gorontalo,100,ID,1634853218,93,0.54,123.06,76.42,1.74
monrovia,100,LR,1634853068,85,6.3,-10.8,76.77,6.46
amuntai,100,ID,1634853219,97,-2.42,115.25,72.55,1.61
beira,0,MZ,1634853219,78,-19.84,34.84,71.69,8.01
fes,40,MA,1634853219,88,34.04,-5.0,64.65,11.5
hanstholm,99,DK,1634853219,60,57.12,8.62,44.67,33.33
sann,1,PK,1634853220,73,26.04,68.14,71.51,8.39
rundu,30,NA,1634853220,64,-17.93,19.77,70.99,6.4
ugljevik,98,BA,1634853220,67,44.66,19.02,53.51,5.17
lüleburgaz,0,TR,1634852950,86,41.4,27.36,49.37,6.69
loandjili,75,CG,1634853221,83,-4.76,11.86,78.91,10.36
pánormos,0,GR,1634853221,70,35.42,24.69,62.02,2.8
libreville,75,GA,1634853222,83,0.39,9.45,80.62,12.66
shwebo,67,MM,1634853222,93,22.57,95.7,74.26,5.64
tsiroanomandidy,17,MG,1634853222,82,-18.77,46.03,64.92,2.66
havelock,80,US,1634853222,77,34.88,-76.9,75.43,4.0
port blair,100,IN,1634853223,85,11.67,92.75,79.5,2.66
belmonte,99,BR,1634853223,90,-15.86,-38.88,73.9,8.39
liverpool,83,GB,1634853057,80,53.41,-2.98,50.83,5.99
san jerónimo,64,PE,1634853223,44,-11.95,-75.28,65.19,6.89
marabu,40,MY,1634853224,94,4.41,114.01,75.34,3.44
kwinana,65,AU,1634853224,87,-32.25,115.77,56.17,5.61
cartagena,40,CO,1634853224,100,10.4,-75.51,80.22,4.61
mugur-aksy,25,RU,1634853225,61,50.35,90.5,16.47,6.13
longyan,100,CN,1634853225,97,25.11,117.02,56.07,3.56
sola,75,VU,1634853225,84,-13.88,167.55,83.07,0.0
hot springs,8,US,1634853226,20,34.5,-93.06,79.93,3.0
henderson,1,US,1634853123,22,36.04,-114.98,81.18,6.91
